age,salary,department,signup_date,is_active,notes
32.0,55673.399221112784,Sales,2023-04-16,False,some free text 35
64.0,79007.59701392178,Engineering,2023-04-19,True,some free text 36
68.0,51214.5620891685,Sales,2023-04-22,True,some free text 37
61.0,43753.154546729376,Sales,2023-04-25,True,some free text 38
69.0,62862.54877382169,Engineering,2023-04-28,True,some free text 39
20.0,60771.92419737066,Marketing,2023-05-01,True,some free text 40
54.0,35727.9237402794,Marketing,2023-05-04,False,some free text 41
68.0,41957.59849731467,Sales,2023-05-07,True,some free text 42
24.0,66447.93284742325,Engineering,2023-05-10,False,some free text 43
38.0,56420.19261484141,Sales,2023-05-13,False,some free text 44
26.0,12954.517023986038,HR,2023-05-16,True,some free text 45
56.0,57229.68708504341,HR,2023-05-19,True,some free text 46
35.0,63896.84537930483,Sales,2023-05-22,False,some free text 47
21.0,37436.279123553286,Marketing,2023-05-25,True,some free text 48
42.0,60157.790983731495,Marketing,2023-05-28,True,some free text 49
31.0,78084.78675981081,Sales,2023-05-31,False,some free text 50
67.0,55945.60910096663,Sales,2023-06-03,False,some free text 51
26.0,40615.75557150602,HR,2023-06-06,True,some free text 52
43.0,42163.07780701126,Marketing,2023-06-09,False,some free text 53
19.0,50195.50849649827,Sales,2023-06-12,True,some free text 54
37.0,55666.54387959637,HR,2023-06-15,True,some free text 55
45.0,50942.368995997735,Marketing,2023-06-18,True,some free text 56
64.0,57523.94548019259,Engineering,2023-06-21,False,some free text 57
24.0,47795.81910619441,HR,2023-06-24,False,some free text 58
61.0,52709.344606103296,Marketing,2023-06-27,False,some free text 59
25.0,64472.158734926525,Marketing,2023-06-30,False,some free text 60
64.0,34027.53270705491,HR,2023-07-03,False,some free text 61
52.0,51630.67699441078,Engineering,2023-07-06,True,some free text 62
31.0,51586.45470541641,HR,2023-07-09,True,some free text 63
34.0,63810.00073569607,Marketing,2023-07-12,True,some free text 64
53.0,46599.16316675957,Sales,2023-07-15,True,some free text 65
67.0,59795.72466574641,Sales,2023-07-18,False,some free text 66
57.0,66540.31198194067,HR,2023-07-21,True,some free text 67
21.0,22252.955942536526,Marketing,2023-07-24,False,some free text 68
19.0,67529.46865175801,Sales,2023-07-27,True,some free text 69
23.0,35219.27304311469,Marketing,2023-07-30,False,some free text 70
59.0,33590.89386397289,HR,2023-08-02,False,some free text 71
21.0,6808.146597914361,Sales,2023-08-05,True,some free text 72
46.0,37952.33502481029,Marketing,2023-08-08,True,some free text 73
35.0,49927.14583023455,Sales,2023-08-11,True,some free text 74
43.0,44250.15040601145,HR,2023-08-14,True,some free text 75
61.0,43062.09709697372,Marketing,2023-08-17,False,some free text 76
51.0,33312.53968505828,Sales,2023-08-20,True,some free text 77
27.0,63008.44248464666,HR,2023-08-23,True,some free text 78
53.0,64376.207543199474,Sales,2023-08-26,False,some free text 79
31.0,56271.7778293338,Sales,2023-08-29,True,some free text 80
48.0,21702.079313215425,Engineering,2023-09-01,True,some free text 81
65.0,84100.17737026222,Engineering,2023-09-04,True,some free text 82
32.0,52204.61975685824,HR,2023-09-07,True,some free text 83
25.0,58094.13802375499,Engineering,2023-09-10,True,some free text 84
31.0,27525.56543942104,HR,2023-09-13,False,some free text 85
40.0,49828.34828795407,Engineering,2023-09-16,True,some free text 86
57.0,56200.31131435468,Sales,2023-09-19,True,some free text 87
38.0,47886.52168298975,HR,2023-09-22,True,some free text 88
33.0,63082.427890301806,HR,2023-09-25,True,some free text 89
62.0,69505.17721994809,Sales,2023-09-28,True,some free text 90
35.0,29847.14353898851,HR,2023-10-01,False,some free text 91
64.0,62751.80873185786,HR,2023-10-04,True,some free text 92
41.0,55915.099271972445,Engineering,2023-10-07,False,some free text 93
43.0,49929.56007989661,HR,2023-10-10,False,some free text 94
42.0,26437.82024708577,Marketing,2023-10-13,True,some free text 95
62.0,72197.7316279783,Sales,2023-10-16,True,some free text 96
58.0,55951.614219066934,Engineering,2023-10-19,True,some free text 97
46.0,23251.234067517144,Engineering,2023-10-22,True,some free text 98
32.0,46352.98309389477,Marketing,2023-10-25,False,some free text 99
62.0,54908.35079548799,Sales,2023-10-28,True,some free text 100
18.0,57598.62952508798,Sales,2023-10-31,True,some free text 101
42.0,48085.928085779386,Engineering,2023-11-03,True,some free text 102
24.0,55123.862089230744,HR,2023-11-06,True,some free text 103
26.0,81783.29318344987,Engineering,2023-11-09,True,some free text 104
41.0,73198.05133207263,Sales,2023-11-12,True,some free text 105
18.0,35757.21432231713,Marketing,2023-11-15,False,some free text 106
61.0,41046.54002655871,Engineering,2023-11-18,False,some free text 107
25.0,48331.940002845964,Sales,2023-11-21,True,some free text 108
41.0,23763.958487425796,Engineering,2023-11-24,True,some free text 109
28.0,29878.947530807534,HR,2023-11-27,True,some free text 110
68.0,25674.58068584775,Engineering,2023-11-30,False,some free text 111
34.0,32784.200407625,Engineering,2023-12-03,True,some free text 112
25.0,70844.04242219887,Sales,2023-12-06,False,some free text 113
52.0,37171.39221680284,Sales,2023-12-09,True,some free text 114
52.0,34594.073615966045,Sales,2023-12-12,True,some free text 115
50.0,63242.564907640844,Engineering,2023-12-15,True,some free text 116
22.0,43260.43420856327,HR,2023-12-18,True,some free text 117
59.0,56279.59203758903,Marketing,2023-12-21,False,some free text 118
56.0,39077.31125955,Marketing,2023-12-24,False,some free text 119
58.0,22971.680464901594,Sales,2023-12-27,True,some free text 120
45.0,57015.75616247175,Sales,2023-12-30,True,some free text 121
24.0,26728.490838640217,Engineering,2024-01-02,False,some free text 122
26.0,42342.60170633606,Marketing,2024-01-05,False,some free text 123
25.0,39005.73297434415,Sales,2024-01-08,False,some free text 124
29.0,52930.19708820459,HR,2024-01-11,False,some free text 125
51.0,41660.826533380736,HR,2024-01-14,True,some free text 126
50.0,48083.97757304171,Sales,2024-01-17,False,some free text 127
65.0,26591.643913440963,Sales,2024-01-20,True,some free text 128
40.0,80005.22133659155,Marketing,2024-01-23,False,some free text 129
41.0,31998.023934047553,Marketing,2024-01-26,False,some free text 130
54.0,68020.70666326536,Engineering,2024-01-29,False,some free text 131
52.0,52247.50574509397,Marketing,2024-02-01,False,some free text 132
61.0,52113.61052106983,HR,2024-02-04,False,some free text 133
57.0,55316.29377679493,HR,2024-02-07,True,some free text 134
39.0,21795.311173211652,Sales,2024-02-10,True,some free text 135
44.0,64495.88002958625,Marketing,2024-02-13,False,some free text 136
52.0,42335.83299069557,Engineering,2024-02-16,False,some free text 137
18.0,68155.97949704959,HR,2024-02-19,True,some free text 138
52.0,47731.460517616564,HR,2024-02-22,False,some free text 139
54.0,44382.17661364295,Engineering,2024-02-25,False,some free text 140
64.0,30631.75830295726,Engineering,2024-02-28,True,some free text 141
31.0,38517.35951288992,HR,2024-03-02,False,some free text 142
20.0,56334.70642496097,HR,2024-03-05,False,some free text 143
18.0,30381.285504959375,Engineering,2024-03-08,True,some free text 144
22.0,20141.006756339542,HR,2024-03-11,True,some free text 145
43.0,37136.76671508349,Sales,2024-03-14,True,some free text 146
31.0,62600.080649336436,Sales,2024-03-17,False,some free text 147
56.0,76719.3661553955,Engineering,2024-03-20,True,some free text 148
44.0,39838.76498427865,Marketing,2024-03-23,True,some free text 149
26.0,999999.0,Engineering,2024-03-26,True,some free text 150
32.0,44853.064038438526,Engineering,2024-03-29,True,some free text 151
32.0,52757.83271614338,Marketing,2024-04-01,True,some free text 152
43.0,58668.457026482516,Marketing,2024-04-04,True,some free text 153
59.0,82019.61872011112,Marketing,2024-04-07,False,some free text 154
30.0,53402.7323297118,Sales,2024-04-10,False,some free text 155
68.0,74831.92438068382,HR,2024-04-13,True,some free text 156
49.0,43056.118669045274,Sales,2024-04-16,True,some free text 157
56.0,51298.48721783832,HR,2024-04-19,True,some free text 158
66.0,41106.75901309468,Sales,2024-04-22,False,some free text 159
69.0,39799.93498823086,HR,2024-04-25,False,some free text 160
49.0,46048.9123269909,Sales,2024-04-28,False,some free text 161
21.0,45790.17686988769,Marketing,2024-05-01,False,some free text 162
47.0,40940.36120753378,Engineering,2024-05-04,False,some free text 163
54.0,41761.20638953547,Sales,2024-05-07,False,some free text 164
40.0,66451.94381662106,HR,2024-05-10,False,some free text 165
56.0,81696.68235437304,Marketing,2024-05-13,False,some free text 166
62.0,42523.90065940331,Sales,2024-05-16,False,some free text 167
32.0,45134.068286489004,Sales,2024-05-19,True,some free text 168
60.0,57869.135009457634,Marketing,2024-05-22,True,some free text 169
46.0,97805.50007109455,Sales,2024-05-25,True,some free text 170
53.0,51262.45281511881,Engineering,2024-05-28,True,some free text 171
30.0,64589.49300348187,Sales,2024-05-31,False,some free text 172
49.0,73167.12258061688,Engineering,2024-06-03,False,some free text 173
24.0,55161.021971030335,Engineering,2024-06-06,True,some free text 174
68.0,63893.48814327551,Marketing,2024-06-09,False,some free text 175
39.0,59117.57810502207,Sales,2024-06-12,True,some free text 176
45.0,65487.691892418225,Marketing,2024-06-15,False,some free text 177
19.0,34483.96465271473,Sales,2024-06-18,True,some free text 178
59.0,53064.24413001993,Sales,2024-06-21,False,some free text 179
62.0,57218.265926421904,HR,2024-06-24,False,some free text 180
23.0,57005.85759093332,Sales,2024-06-27,True,some free text 181
45.0,67055.26127950186,Marketing,2024-06-30,False,some free text 182
45.0,56703.35217161101,Engineering,2024-07-03,True,some free text 183
61.0,32825.77219892897,Sales,2024-07-06,True,some free text 184
61.0,58869.74175391973,HR,2024-07-09,True,some free text 185
37.0,36753.820122806996,Marketing,2024-07-12,True,some free text 186
47.0,39509.32927405277,Sales,2024-07-15,False,some free text 187
28.0,43722.36678184351,Marketing,2024-07-18,False,some free text 188
45.0,48328.71835127613,HR,2024-07-21,False,some free text 189
42.0,26844.11895962156,HR,2024-07-24,True,some free text 190
56.0,66753.40160302518,Marketing,2024-07-27,False,some free text 191
50.0,32667.261348657736,Sales,2024-07-30,True,some free text 192
18.0,73551.6593305828,Engineering,2024-08-02,False,some free text 193
44.0,33125.72393250714,HR,2024-08-05,False,some free text 194
69.0,69228.80570471303,Sales,2024-08-08,False,some free text 195
30.0,49573.678136013994,Sales,2024-08-11,True,some free text 196
58.0,24253.633310840425,Engineering,2024-08-14,False,some free text 197
20.0,34355.57909595723,HR,2024-08-17,False,some free text 198
56.0,69897.07502478572,HR,2024-08-20,True,some free text 199
56.0,51905.18359057698,HR,2023-01-01,True,some free text 0
